,R,d,R_lower,d_lower,R_upper,d_upper,upsilon,X_C,upsilon_lower,X_C_lower,upsilon_upper,X_C_upper,f_E,f_E_lower,f_E_upper,f_S,X_S,f_S_lower,X_S_lower,f_S_upper,X_S_upper
BD-ML,1.3226234511409103,7.212355004321055,0.9492849845403452,5.911412246546969,1.8892975363220421,9.034189590275084,,,,,,,,,,,,,,,
BD,1.488899827003479,7.624831120651867,1.271401286125183,6.29972837686067,1.711511492729187,9.431796715431494,,,,,,,,,,,,,,,
BDCT,1.6890233755111694,8.010811135909462,1.3675097227096558,6.208771329971922,2.3402199745178223,10.866658723199231,0.68529177,52.93704,0.48598716,32.87918,0.80505806,86.7967,,,,,,,,,
BDEI,1.6475584506988525,7.239242521956792,1.405827522277832,4.499636996813342,2.0069544315338135,8.52030626482739,,,,,,,0.036445312,0.036263593,0.51480114,,,,,,
BDEICT,1.8582650423049927,11.009990150570635,1.3279379606246948,8.48908445586245,2.839831829071045,14.74567105997348,0.7755078,76.150406,0.6286259,42.029716,0.7755078,97.22007,0.8421787,0.752672,0.905345,,,,,,
BDSS,1.621985912322998,8.208258221867881,1.185190200805664,5.616409048142279,2.267747402191162,11.497603671434964,,,,,,,,,,0.11877968,16.796068,0.03871778,10.416353,0.28236052,24.999844
BDSSCT,1.8233402967453003,10.072983421210724,1.3115960359573364,6.943712505276307,2.6684963703155518,15.007163294504636,0.6646929,48.963696,0.44173917,29.210342,0.82164335,87.8222,,,,0.1927977,14.831605,0.013052812,7.9619584,0.37206316,23.66809
BDEISS,1.6045433282852173,10.624215428044094,1.1542836427688599,7.746178293604145,2.405195713043213,15.12437926042026,,,,,,,0.0,0.0,0.4064906,0.16498233,19.464943,0.03992854,11.361892,0.32976788,26.867453
BDEISSCT,1.877233624458313,11.052630440173033,1.3841694593429565,8.009013587809543,2.7142703533172607,15.26826225741847,0.61246985,59.7943,0.10200735,21.0221,0.77337885,92.47852,0.002153401,0.0,0.33153746,0.1821307,16.25406,0.01131156,8.223548,0.38225913,25.133436
BDSS-Voznica-FFNN-SS,1.6,10.2,1.34,8.3,1.97,12.8,,,,,,,,,,0.07,8.8,0.05,6.0,0.12,10.0
BDSS-Voznica-CNN-CBLV,1.69,9.8,1.4,8.1,2.08,12.3,,,,,,,,,,0.08,9.3,0.05,6.7,0.13,10.0
BDSS-Voznica-BEAST2,1.41,9.4,1.14,7.6,1.72,11.7,,,,,,,,,,0.11,14.5,0.05,8.0,0.17,26.1
BDSS-Perez-FFNN-SS,1.98,11.8,1.57,8.9,2.72,15.5,,,,,,,,,,0.13,15.8,0.08,8.5,0.17,23.4
BDSS-Perez-PhyloCNN,1.41,11.3,1.16,8.8,1.74,14.3,,,,,,,,,,0.13,20.4,0.08,10.6,0.17,26.2
